review,label
Good,Positif
Kenapa tidak ada opsi login with email??? Tolong ditambahkan opsi ini jika nomer hp hilang dan memerlukan login cepat untuk menggunakan aplikasi. Saya hilang handphone dan harus register new account karena akun lama harus login with phone number sedangkan saat itu malam hari dan belum bisa ke gerai provider. Padahal gopay masih di akun yang hilang bersama handphone saya. Trims.,Positif
"Beberapa minggu ini jadi sering force close, ga bisa sama sekali masuk ke aplikasi. Klo low power mode dimatiin, baru bisa masuk. Bintang 1 :)",Negatif
"1. Go mart nya kok di hilangin kenapa sih, udh lama hilang cm di php doang, ditulisin we'II be here soon toh udh bertahun2 juga tetep ga ada, kl memang tidak ada lagi ya di delete aja atuh 

2. Go point awal launching hadiahnya wow wow skg dituker voucher discount yang ga seberapa aja dibatesin maks 3x LOL, apalagi di th 2020 ini baru saja menerima notif Terms and conditions: Token aja di expired'in, point juga tiep 6 bulan di expired'in, bikin geleng2 bener2 terlalu dah :( guna nya kumpulin apa teros? unfaedah banget astaga, mana hadiah jg jaoh ga bermutu loh dibanding dulu. Padahal bikin semangat tiep hari pakai Gojek krn seneng point bs sampai puluhan ribu krn konsistensi bertahun2 namun semenjak di expired'in 1 taun terakhir ini, membuat ku kecewa akan kerja keras kumpulin itu yang udh ga dihargain lagi 😫

3. Trf makin mahal kadang ga masuk akal pelonjakannya dan bs berubah berubah sendiri makin mahal intinya makin naik ditinggal buka chat sebentar eh balik2 naik dikit dikit lama lama jadi bukit dah, mantap ya makin males pakai aja. Sudah 1,5 taun an lebih demen sama toko sebelah karena Gojek telah berubah dan tak seperti dulu :') 

4. Banyak sih yang lain namun biarlah customer yang lain yang tambahin review nya krn jujur capek tulis review panjang2 eh, kayaknya juga ga di denger :(

Pesan terakhir untukmu, Gojek
Ayo dong yg kurang di 'improve' lagi seperti dahulu kala sewaktu kepercayaan ku masih utuh padamu, sebelum km berubah mjd seperti skg. Sebelum ku benar2 putus asa dan berpaling ke sebelah... 

Dari customer mu yg sudah hampir tak mengenali version mu yg skg 🥺💔",Negatif
Perusahaan dengan CS paling NAJIS sedunia 👎🏿,Negatif
"Promo di hp tiap ornag beda, ada yg ada promonya dan ada yg ga. Promo kok milih”.
Dan parahnya setelah ambil promo, delivery fee nya dinaikin yg biasanya gofood deket cuma kena 8000 tiba” dihajar jd 15rb walaupun deket.
Percuma jg ambil paket plan gofood yg mesti belanja 30rb terus dpt potongan 20rb kalo delivery fee nya dinaikin tiba” jd 15rb. Itu namanya ngerjain orang. Jatohnya mahal jg.",Negatif
"Go news anda ga penting, banyak berita tak berfaedah",Negatif
Makin kesini makin jelek banget yaa 😭😭,Negatif
"Tiba2 ngga bisa dibuka,udah coba uninstal instal lagi tetep ngga bisa,padahal gopay gua masih banyak kampret !!",Negatif
Setiap dibuka appnya keluar lagi,Negatif
"The app is always closing by itself when I try open it (on iphone 6 ios version 12.3.1). In details, when I clicked the app, the booting logo comes up like usual, but after a while, it closes and send me back to home page of my phone. Please fix it ASAP. Thank you",Negatif
"Dear gojek, menu batalkan orderan adain lagi dong sumpah ya menyulitkan bgt giliran order pas lagi kerja pengennya sesuai waktu ini molor terus sampe kerja kelar gara gara driver gada yang mau ambil dan nunggu 15 menit buat batalin tp di restonya ga di batalin terus aja sampe tengah malem",Negatif
"Chat di dalam aplikasi sering error. Nggak keluar fitur chat, sehingga harus sms/telpon.",Negatif
Kenapa sih dikit dikit harus upgrade. Hp ku udah tak berdaya tau untuk ngupgrade :( mana wajib upgrade kalau gak upgrade gak bisa digunain. Maaf saya harus say goodbye to gojek 😣,Negatif
JARAK 1.7km KOK BIAYA ANTARNYA BISA 29 RIBU? SEBELUM UPDATE 13 RIBU DOANG.,Negatif
"Hallo tim yang ngoding-ngoding aplikasi buat di ios, ini kenapa aplikasi ga bisa dibuka yah ? Selalu forced close. Apakah butuh head developer yang lebih ok ? Banyak tuh di linkedin hahaha",Negatif
"Tolong dong knp aplikasi saya gk kebuka, udh saya uninstall trs sya install lg tp tetep gk bs di buka.",Negatif
"Makin lama makin mahal, jarang bgt ada diskon wkwm",Negatif
"Bak sulap bak Sihir
Setiap musim hujan semua driver ngilang.
Aplikasi yg tujuannya diperuntukan untuk membantu malah buntung, bikin sensi dan naik darah.",Negatif
"Terima kasih gojek sudah semakin mahal, semakin menguras kantong konsumen.
Terima kasih sudah membuat go-points semakin tidak berguna. Terima kasih dengan aplikasi dengan fitur-fitur lengkap dan canggih serta ngadat-ngadat sampai dengan force close. Terima kasih atas masalah-masalah lainnya yang cukup banyak, panjang dan menjengkelkan. Sayonara GOJEK.thanks for everything.",Negatif
"Baru tau ternyata cs gojek bener bener buruk, tidak niat bantu dan respon nya sperti robot, karyawan cs nya pada makan gaji buta kali ya. Saya komplain soal gopaylatercicil yng tdk muncul di aplikasi meski sudah di aktifasi, sebelumnya sempat muncul tapi hilang lagi ga jelas, sampe skrng tdk ada respon mengenai masalah ini dri cs sudah sebulan sejak kirim email, saya sudah email sudah bikin tiket semua responnya hanya balasan automated reply. Buruk bngt sih.",Positif
"Pengalaman prtama kali saya selama saya pakai gojek udh sekitar 3 tahunan dan orderan saya udah ribuan . Tapi prtama kali ini saya di labrak sama supir ojol karna dia bilang saya ksih bintang 1 , padahal saya kasih dia bintang 5 . Dan saya tunjukin bukti bintang 5 dia masih ngotot menyalahkan saya, datang tanpa etika maki2 saya teriak2. Mohon untuk di tindak tegas buat para driver yg gabung di gojek biar ga bersikap seperti itu ke clien . Itu ga logis aja di labrak karna bintang. Guna nya bintang itu untuk menilai kalau ga trima kenapa harus labrak clien. Ini membuat saya merasa terancam . Tolong di tindak tegas buat driver yg sprti ini . Saya ga brsalah di tuduh",Negatif
Promo gofood udah gabisa digabungin lagi pdhl udah setia dari dulu sm gofood🙏🏻,Negatif
Tolong Maps yg anda miliki di perbaiki agar tidak menyusahkan driver!!!,Negatif
"Menurut gw, apapun yg berbau ""Made in Indonesia"" gak ada bagusnya sama sekali, mau apapun juga. Harga mahal kualitas murahan. Beda jauh sama ""Made in China"" yg harga murah tapi kualitas sangat bagus. Maklum, tabiat org Indo yg cuma mau untung besar tanpa mikirin kualitas dan layanan. Sorry not sorry.",Negatif
"Aplikasi ini aneh, belum kepencet tiba tiba sudah masuk orderan .. Aneh banget, dan lucunya setelah itu gak bisa di cancel. 
Sungguh aplikasinya Nge bug atau bagaimana. 
Cs saya sudah telp dikatakan bahwa tdk bisa membatalkan pesanan, wow !! aneh tapi nyata.. saya belum pilih apa apa tb tb sudah masuk ke order. luar biasa permainan CS nya.. dan saya telp cs nya disuruh tunggu 1 menit namun lebih dari 1 menit dan tdk bisa memberikan solusi. 

Parah !! Auto UNINSTALL 
Masih kalah jauh dengan GRAB !!!",Negatif
"Saya sering kejadian pakai voucher harus nya dapet potongan gara2 driver ngecancel beberapa makanan gara2 makanannya habis eh potongannya hilang gue cuma dapet air minum yg harganya mahal+bayar ongkir, tolong klo lagi promo ubah makanan harus persetujuan customerssss. emang duit kite mainan elu?? sya kasi bintang satu untuk menggabarkan perasaanku.",Negatif
Sekedar saran. Untuk yg pembelian diatas 100 ribu untuk konfirmasi pembayaran lewat non tunai aja agar driver yg dapat orderan fiktif gak rugi banyak sampai ratusan ribu. Kasian aja ngeliat orang yg kerja keras tapi masih aja ditipu sama orang yg gak bertanggung jawab.,Negatif
Kenapa apps nya selalu keluar setiap di buka? Bug atau apaya? Kecewa nih.,Negatif
"Please write the right “what’s the new version” from your apps WITHOUT poem or song lyrics from BtS like you used on the last version, we don’t need that, we need to know “what’s the new version from your apps”, if we're upgrading it, EXPLAIN THAT! 
I preferred to use the first UI&UX designed, not the second, third, and the last. 
Sorry, but y’all created this apps for USER, not yourself, so please ”posisikan diri Anda sebagai User”",Negatif
"Tolong dong, kalo memang sering ke close gini (terutama pengguna Iphone) mending gopay sama gojek pisahin aja, Go-News jg ga guna banget, mau ada berapa fiture di satu aplikasi. 
TOLONG bgt inimah kalo mau bayar2 terus keclose terus kan kesel😣",Negatif
"Saya sering pakai aplikasi ini tapi Kok lama2 aplikasi nya sering force close ini kenapa ya..? Mohon di perbaiki,",Negatif
"I live in the middle of nowhere, and this new feature that refrains user to order from restaurants that are farther than 4km from their current location is BUGGING me.

Not everyone is living where there are a lot of restaurants within 4km distance. I hate to compare, but please consider to benchmark GrabFood’s policies. Until then, I’ll be using GrabFood’s services.",Positif
Harga makanan di gofood lebih mahal dibanding harga aslinya,Negatif
"Please gojek di rubah cara daftar, kalau ada no gak kepake di apus aja, atau orang daftar bisa terima via wa atau sms kayak aplikasi lain, ganti nomor ribet amat gak di kerjain sama sekali, no gw dah angus , no baru ternyata uda kepake di gojek, masa iya gw di suruh ganti nomor, gw dah urus ke grapari dah jadi milik gw, knp pihak gojek gak mau off org lama, mana abis isi gopay 100 lagi .. masa gopay gw ilang, padahal uda kasih bukti transfer via bca isi gopayx.. ribet ah",Negatif
"laporan ditutup begitu aja, komplain lewat app atau twitter pun jg sama. Cuma bisa diarhin ke dm tapi ga dibales2 lg. Tolol",Negatif
"Gojeek sekarang tidak bagus
Ongkir naik tanpa pemberitahuan",Negatif
"Tidak memberikan solusi atas masalah saya, jawabannya malah muter2 gk jelas, ditanya lg eh CS-nya ngilang ntah kemana",Negatif
It’s very difficult to reach the customer service and when I did. They did such a bad job it’s like a joke.,Negatif
"1. Kenapa setiap ke halaman home harus selalu refresh? Kasian hp hp kentang kek iphone 6s plus kebawah selalu nge-freeze bentar setiap pindah pindah dari chat/promo ke home. 

2. Terlalu banyak loading assets sana sini yg hanya bikin aplikasi jadi berat

3. Banyak bgt bug desainnya, seolah seolah tidak dirancang lg utk hp dgn layar yg punya aspek rasio 16:9. Pengguna app-mu tidak hanya pemilik iphone x keatas :)",Positif
Banyak modus penipuannya,Positif
"udah nungguin set jam eh drivernya malah diem di tempat,di telpon berkali kali malah ga di angkat,saran saya kalo drivernya ga jalan dalam 5 menit langsung ganti,ini malah di suruh nunggu set jam laper gua kntl,ini malam terakhir gua make gojek thx.",Negatif
Ga bisa bayar tagihan paylater selama bbrp hari.. tulisannya error terus. Jdnya saya kena denda berhari-hari dong 🙃🙃,Negatif
"1. Tidak bisa chat ke driver
2. Tiba2 tidak bisa bayar pakai linkaja padahal udh di sambungkan
3. Go ride padahal jarak nya dekat dan murah jadi jauh dan mahal karena rutenya milih rute yang muter dan jauhh
4. Go points suka tiba2 ilang
5. Cashback gopay jarang masuk
6. Sudah beberapa kali jalanin mission dan tidak diberikan hadiah yang dijanjikan
7. Dll",Negatif
"i have been using gojek for who knows how long and suddenly as i was ordering something from lippo, it said the restaurant was too far. i have ordered food and drinks from lippo many times and this is the first. i tried redownloading the app thinking it was a glitch however it still did not work. i am very dissapointed as this is only happening to me (i think) and i am unable to order anything from places that are “far”. i really hope this gets noticed and fixed as i still want to contonue ordering through this app. if this cant be fixed then i will assume that the drivers and management of gojek is using this as a petty and pathetic excuse as the drivers are lazy to go somewhere that “far”. please notice this and fix it soon.",Negatif
Driver menipu dan tidak ada pertanggung jawaban dari pihak Gojek,Negatif
"Kalau gosend penerima yg pesan, sulit sekarang cari lokasi pengirim, harus buka map, padahal ga tau lokasi pengirim, biasanya ketik nama jalan search langsung muncul!!!",Negatif
Gw tiap hari minimal 2 order pake acara di banned gara2 driver minta tolak order melulu. Gak di cancel kasian drivernya. Dicancel gw kena ban ga bisa makan! Payah,Negatif
"Pengemudi gojek skrg sudah tidak berkualitas, sejumlah pesanaan selalu dicancel oleh mereka padahal sudah telpon dan sudah oke semua. Saya tidak akan pakai aplikasi yang semakin disupport malah semakin jelek servicenya.",Negatif
"semenjak update terbaru, app gojek sama sekali ga bisa dibuka alias crash di 5s padahal storage masih kosong banyak dan ios paling update. tanya ke csnya juga responnya disuruh install-uninst 🤦‍♀️ jgn bilang udah ga compatible 🙃",Negatif
Makin parah pelayanan gojek. Apalg pas hujan.. contohnya hr ini. Jd kebalik balik penjemputan baranggnya.,Negatif
"autorefresh saldo gopaynya bermasalah. sudah transfer/topup gopay pake virtual acount bca, dah dapet notifikasinya, di history transaksinya jg sudah ada, tapi saldo gopaynya gak update, udah diclise app, dah restart hp tapi saldo gopay masih ttep gak refresh, bayar sesuatu jadi gagal gara2 saldo gopaynya dianggap gak cukup gara2 gak refresh.",Positif
"10x order go ride, 4x order go food ""NO DRIVER!""... makin hari makin payah.. kayaknya memang harus di tutup.",Positif
"What are they trying to sell? The basic function of this app is to order transports and foods yet they make the buttons so small. And the biggest buttons in the home page are unnecessary contents and unimportant services. Learn more of design hierarchy perhaps?!

I spent nearly 10 minutes just to find my gopay transaction history.",Negatif
"keren lu bro, setelah update terakhir baru dibuka langsung force close, seharian gak pernah berhasil buka aplikasinya. tolong dibenerin langsung 👎👎👎👎👎",Negatif
Ongkirnya semakin kesini semakin mahal,Negatif
"Gosend pick up can’t search address! 
Only can pick through the maps, that so bad!",Negatif
"Saat lagi hujan (banyak yang membutuhkan) banyak driver yang purapura bego, ga bergerak minta banget dicancel. Ketika kita cancel, semakin sulit mendapatkan driver. 

Semestinya beri kolom kosong untuk alasan kenapa penumpang harus cancel order. Agar driver nakal ketahuan dan dapat ditindak",Negatif
"Kenapa Gopay tdk bisa di kaitkan dgn Apple payment, padahal Aplikasi Gopay sdh terinstall dan login… namun ketika Gopay di tambahkan dan login pd pada Apple ID payment malah muncul link download Aplikasi Gojek?, tlg developer Gojek bisa atasi masalah ini, terima kasih",Positif
"support semua pake bot ... kami ini manusia punya perasaan.. bukan dengan bot yg kalin kira pintar bisa menyelesaikan masalah .

layanan macam apa gojek ini charge fee makin banyak tapi layanan nya makin parah

coba sistem kalian bisa lah baca kalau driver disuruh pickup tapi diem doang sampe 5 menit ya langsung cari driver lain .. ini driver diem doang sampai 20 menit ... ganti driver nunggu lagi 30 menit ... ganti lagi nunggu lagi 15 menit akhirnya order di cancel... 1 jam lebih nunggu sia2 !! emang waktu saya ini ga ada harganya ya buat gojek ???!!!!, belum lagi resto sudah menyiapkan makanan nya .. begitu banyak pihak yg dirugikan !! SOP gojek dibenahin !! lebih tegas lagi !! support tolong lebih manusiawi !!",Negatif
"Driver cancel mulu, rate juga ga murah",Negatif
di cancel terus sama gojeknya 8 kali berturut turut,Negatif
"Coba tolong untuk driver kalau emang gamau ambil order gausah di confirm, nunggu setengah jam udah berapa driver yg cancel",Negatif
mahal bgt yuk semua move ke grab harganya jauh lebih murah,Negatif
"Makin gak jelas , payment gopay failed , tiba tiba data gojek hilang , nunggu driver pick up sampe hampir 1 jam ganti2 driver",Negatif
"Ini aplikasi kocak dah, kalo eror mah udah eror aja semuanya, ini mah pesen gocar ERROR ga kelar2 tapi giliran top up malah LANCAR, gimana konsepnya!? Tolong balikin uang saya.",Negatif
Gimana ini aplikasinya error trip gabisa di cancel dan driver nya juga seenaknya tidak respon dan tidak jalan buat jemput customer,Negatif
